college_code,college_name,branch_id,branch_name,students_count,verified_students_count,logged_in_students_count
7378,KONGU ENGINEERING COLLEGE,89,B.E Chemical Engineering,166,166,0
7378,KONGU ENGINEERING COLLEGE,90,B.Tech. Artificial Intelligence and Machine Learning,54,54,0
7378,KONGU ENGINEERING COLLEGE,91,B.E Electronics and Instrumenataion Engineering,310,310,0
7378,KONGU ENGINEERING COLLEGE,93,B.E Automobile Engineering,158,158,0
7378,KONGU ENGINEERING COLLEGE,98,B.E Mechatronics Engineering,348,348,0
7378,KONGU ENGINEERING COLLEGE,107,B.E Computer Science and Design,59,59,0
6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,61,B.E. Computer Science and Engineering,138,138,0
6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,65,B.E. Electrical and Electronics Engineering,108,108,0
6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,81,B.E Electronics and Communication Engineering,94,94,1
6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,83,B.E Mechanical Engineering,156,156,0
6128,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,84,B.E Civil Engineering,60,60,0
8201,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,61,B.E. Computer Science and Engineering,137,137,7
8201,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,65,B.E. Electrical and Electronics Engineering,51,51,5
8201,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,81,B.E Electronics and Communication Engineering,30,30,0
8201,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,83,B.E Mechanical Engineering,66,66,5
8201,A.R.J. COLLEGE OF ENGINEERING AND TECHNOLOGY,84,B.E Civil Engineering,21,21,1
9119,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,61,B.E. Computer Science and Engineering,28,26,0
9119,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,65,B.E. Electrical and Electronics Engineering,10,10,0
9119,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,81,B.E Electronics and Communication Engineering,7,6,0
9119,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,83,B.E Mechanical Engineering,23,20,0
9119,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,84,B.E Civil Engineering,18,17,0
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",61,B.E. Computer Science and Engineering,324,324,0
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",63,B.E. Civil Engineering (Tamil Medium),21,21,0
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",65,B.E. Electrical and Electronics Engineering,153,153,0
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",37,B.Tech. Information Technology,144,144,0
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",42,B.E. Civil Engineering,11,11,0
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",51,B.E. Mechanical Engineering (Tamil Medium),25,25,0
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",81,B.E Electronics and Communication Engineering,157,157,0
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",83,B.E Mechanical Engineering,166,166,0
9628,"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",84,B.E Civil Engineering,132,132,0
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,61,B.E. Computer Science and Engineering,176,176,0
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,65,B.E. Electrical and Electronics Engineering,114,114,1
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,37,B.Tech. Information Technology,170,170,0
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,81,B.E Electronics and Communication Engineering,220,220,0
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,83,B.E Mechanical Engineering,148,148,0
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,84,B.E Civil Engineering,42,42,0
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,98,B.E Mechatronics Engineering,57,57,0
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,100,B.E Aeronautical Engineering,39,39,0
9605,CAPE INSTITUTE OF TECHNOLOGY,61,B.E. Computer Science and Engineering,273,273,0
9605,CAPE INSTITUTE OF TECHNOLOGY,65,B.E. Electrical and Electronics Engineering,100,100,0
9605,CAPE INSTITUTE OF TECHNOLOGY,37,B.Tech. Information Technology,51,51,0
9605,CAPE INSTITUTE OF TECHNOLOGY,81,B.E Electronics and Communication Engineering,148,148,0
9605,CAPE INSTITUTE OF TECHNOLOGY,83,B.E Mechanical Engineering,248,121,0
9605,CAPE INSTITUTE OF TECHNOLOGY,84,B.E Civil Engineering,64,64,0
7239,"Arjun College of Technology , Coimbatore ",61,B.E. Computer Science and Engineering,120,120,0
7239,"Arjun College of Technology , Coimbatore ",7006,B.Tech. Computer Science and Business Systems,57,57,0
7239,"Arjun College of Technology , Coimbatore ",81,B.E Electronics and Communication Engineering,58,58,0
7239,"Arjun College of Technology , Coimbatore ",83,B.E Mechanical Engineering,64,64,0
7239,"Arjun College of Technology , Coimbatore ",84,B.E Civil Engineering,27,27,0
7239,"Arjun College of Technology , Coimbatore ",86,B.Tech. Artificial Intelligence and Data Science,110,110,0
7239,"Arjun College of Technology , Coimbatore ",98,B.E Mechatronics Engineering,13,13,0
8125,MAHALAKSHMI ENGINEERING COLLEGE,61,B.E. Computer Science and Engineering,31,31,0
8125,MAHALAKSHMI ENGINEERING COLLEGE,65,B.E. Electrical and Electronics Engineering,41,41,0
8125,MAHALAKSHMI ENGINEERING COLLEGE,81,B.E Electronics and Communication Engineering,21,21,0
8125,MAHALAKSHMI ENGINEERING COLLEGE,83,B.E Mechanical Engineering,89,89,0
8125,MAHALAKSHMI ENGINEERING COLLEGE,84,B.E Civil Engineering,40,40,0
8215,Prime College of Architecture & Planning ,75,B.Arch Architecture,65,65,0
7333,JAIRUPAA COLLEGE OF ENGINEERING,61,B.E. Computer Science and Engineering,13,13,0
7333,JAIRUPAA COLLEGE OF ENGINEERING,65,B.E. Electrical and Electronics Engineering,21,21,0
7333,JAIRUPAA COLLEGE OF ENGINEERING,81,B.E Electronics and Communication Engineering,10,10,0
7333,JAIRUPAA COLLEGE OF ENGINEERING,83,B.E Mechanical Engineering,48,48,0
7333,JAIRUPAA COLLEGE OF ENGINEERING,84,B.E Civil Engineering,18,18,0
7307,Excel college of Engineering and Technology ,60,B.Tech. Chemical Engineering,22,22,0
7307,Excel college of Engineering and Technology ,65,B.E. Electrical and Electronics Engineering,66,66,0
7307,Excel college of Engineering and Technology ,131,B.Tech. Petrochemical Technology,74,74,0
9215,R.V.S. College of Engineering,61,B.E. Computer Science and Engineering,97,97,0
9215,R.V.S. College of Engineering,65,B.E. Electrical and Electronics Engineering,30,30,0
9215,R.V.S. College of Engineering,81,B.E Electronics and Communication Engineering,31,31,0
9215,R.V.S. College of Engineering,83,B.E Mechanical Engineering,68,68,0
9215,R.V.S. College of Engineering,84,B.E Civil Engineering,34,34,0
9215,R.V.S. College of Engineering,103,B.Tech. Textile Technology,55,55,0
9215,R.V.S. College of Engineering,145,B.E. Petrochemical Engineering,7,7,0
