id,branch
2020,MECHANICAL ENGINEERING (SANDWICH)
2021,MECHANICAL ENGINEERING ((FOUNDRY) SWC)
2022,MECHANICAL ENGINEERING (MACHINE TOOL MAINTENANCE & REPAIRS) (SWC)
2030,ELECTRICAL AND ELECTRONICS ENGINEERING(SANDWICH)
2047,MECHATRONICS ENGINEERING (SANDWICH)
2060,TEXTILE TECHNOLOGY (SANDWICH)
2061,TEXTILE PROCESSING (SANDWICH)
2072,PLASTIC TECHNOLOGY (SANDWICH)
2073,PLASTIC ENGINEERING (SANDWICH)
2074,POLYMER TECHNOLOGY (SANDWICH)
2076,PULP AND PAPER TECHNOLOGY (SANDWICH)
2077,FISHERIES TECHNOLOGY & NAVIGATION ENGG (SANDWICH)
2078,FISHERIES TECHNOLOGY (SANDWICH)
2079,CHEMICAL ENGINEERING (SANDWICH))
2080,CERAMIC TECHNOLOGY(SANDWICH)
2101,LEATHER TECHNOLOGY (SANDWICH)
2102,ARCHITECTURAL ASSISTANTSHIP (SANDWICH)
2103,MACHINE TOOL MAINTENANCE AND REPAIRS (SANDWICH)
2104,FOUNDRY TECHNOLOGY (SANDWICH)
2105,FOOTWEAR TECHNOLOGY (FULL TIME)
2149,ROBOTICS AND AUTOMATION ENGINEERING
3010,CIVIL ENGINEERING (PART TIME)
3020,MECHANICAL ENGINEERING (PART TIME)
3030,ELECTRICAL AND ELECTRONICS ENGINEERING (PART TIME)
3040,ELECTRONICS AND COMMUNICATION ENGINEERING (PART TIME)
3045,ELECTRONICS (WSI) (PARTTIME)
3072,PETROLEUM ENGINEERING (PARTTIME)
3075,PETROCHEMICAL ENGINEERING (PART TIME)
3202,PRINTING TECHNOLOGY
4010,CIVIL ENGINEERING (PRIVATE)
4020,MECHANICAL ENGINEERING (PRIVATE)
4030,ELECTRICAL AND ELECTRONICS ENGINEERING (PRIVATE)
4060,TEXTILE TECH  (MAN MADE FIBRE TECH)
5101,POST DIPLOMA IN COMPUTER APPLICATIONS
5102,POST DIPLOMA IN KNITTING AND GARMENT TECHNOLOGY
5103,POST DIPLOMA IN PETRO CHEMICAL TECHNOLOGY
5104,POST DIPLOMA IN MEDICAL EQUIPMENT TECHNOLOGY
5105,POST DIPLOMA IN AUTOMOBILE ENGINEERING
5106,POST DIPLOMA IN WELDING TECHNOLOGY
5107,POST DIPLOMA IN CONSTRUCTION TECHNOLOGY
5108,POST DIPLOMA IN DIE AND TOOL DESIGN
5109,POST DIPLOMA IN AUTOMOBILE ENGINEERING
5110,POST DIPLOMA IN TOOL DESIGN
5111,POST DIPLOMA IN ADVANCED TOOL AND DIE DESIGN
5112,POST DIPLOMA IN TELEVISION ENGINEERING
5113,POST DIPLOMA IN QUANTITY SURVEYING
5114,POST DIPLOMA IN TEXTILE WET PROCESSING
5115,POST DIPLOMA IN TOWN AND COUNTRY PLANNING
5119,POST DIPLOMA IN METALLURGY
5201,POST DIPLOMA IN REFRIGERATION AND AIR CONDITIONING
5202,P D IN ADVANCED TECHNOLOGICAL COURSE IN R & A/C (SWC)
5203,POST DIPLOMA IN COMPUTER AIDED TEXTILE MANUFACTURE
5204,P D IN KNITTING AND GARMENT MANUFACTURING TECHNOLOGY
5205,POST DIPLOMA IN TOOL AND DIE MAKING
5206,POST DIPLOMA IN INDUSTRIAL ENGINEERING
5207,POST DIPLOMA IN FASHION TECHNOLOGY
5301,POST DIPLOMA IN REFRIGERATION AND AIR CONDITIONING (PART TIME)
5310,POST DIPLOMA IN METALLURGY (PART TIME)
57,B.E. Electrical and Electronics Engineering.
5311,POST DIPLOMA IN TOOL DESIGN (PART TIME)
5314,POST DIPLOMA IN QUANTITY SURVEYING (PART TIME)
6101,CERTIFICATE IN SALESMANSHIP
6102,CERTIFICATE IN BAKERY AND CONFECTIONERY
6103,CERTIFICATE IN FRONT OFFICE BOOK KEEPING AND HOUSE KEEPING
6104,CERTIFICATE IN FOOD AND BEVERAGE SERVICE
6105,CERTIFICATE IN FOOD PRODUCTION
6106,CERTIFICATE IN HOUSE KEEPING
6107,CERTIFICATE IN SOCIAL WORK
6108,CERTIFICATE IN LITHOGRAPHIC ART WORK
6109,CERTIFICATE IN COOKERY
6110,CERTIFICATE IN KNITTING AND EMBROIDERY
6111,CERTIFICATE IN ACTING
6112,CERTIFICATE IN CAMERA AND SCANNER OPERATION
6113,CERTIFICATE IN TYPE SETTING AND DESK TOP PUBLISHING
6114,CERTIFICATE IN OFFSET MACHINE PRINTING
6115,CERTIFICATE IN TEXTILE WEAVING
6116,ARTISIAN COURSE IN TANNERY OPERATORS
6117,ELECTRICAL SUPERVISOR'S COMPETENCY CERTIFICATE COURSE
6118,CERTIFICATE IN PRE-PRESS WORK
6119,CERTIFICATE IN PRINTING TECHNOLOGY
7020,B.Tech Construction Engineering and Management
97,B.E Medical Electronics Engineering
75,B.Arch Architecture
7013,B.E Mechanical and automation engineering
7002,AD
7003,CB
7005,B.Tech. Food Technology
7006,B.Tech. Computer Science and Business Systems
7072,INFORMATION SYSTEMS
7073,SOFTWARE SYSTEMS
79,B.E Biomedical Engineering
80,B.E Computer Science and Engineering
81,B.E Electronics and Communication Engineering
82,B.E Electrical and Electronics Engineering
83,B.E Mechanical Engineering
84,B.E Civil Engineering
85,B.E Computer Science and Business Systems
86,B.Tech. Artificial Intelligence and Data Science
87,B.E Robotics and Automation Engineering
88,B.E Agriculture Engineering
89,B.E Chemical Engineering
90,B.Tech. Artificial Intelligence and Machine Learning
91,B.E Electronics and Instrumenataion Engineering
93,B.E Automobile Engineering
96,B.E Computer Science and Engineering (CyberSecurity)
98,B.E Mechatronics Engineering
99,B.Tech. Biotechnology
100,B.E Aeronautical Engineering
101,B.Tech. Fashion Technology
102,B.E Information Science and Engineering
103,B.Tech. Textile Technology
104,B.Tech. Pharmaceutical Technology
105,B.Tech. Agriculture Engineering
106,B.E Nanoscience and Technology
107,B.E Computer Science and Design
108,B.E Instrumentation and Control Engineering
109,B.E Power System Engineering
110,B.E Computer Science and Technology
111,B.E Structural Engineering
112,B.Tech Computer Science and Technology
113,B.E Computer Science and Engineering (IOT & CS including BCT)
114,B.E Mechanical and Mechatronics
115,B.E Electronics and Telecommunications Engineering
116,B.E Metallurgical Engineering
117,B.E Production Engineering
118,B.Tech. Textile Technology (Part Time)
119,B.E Electrical and Electronics Engineering (Sandwich)
120,B.E Mechanical Engineering (Sandwich)
121,B.E Production Engineering (Sandwich)
123,B.E Computer and Communication Engineering
124,B.Tech Computer Technology
125,B.E Aerospace Engineering
131,B.Tech. Petrochemical Technology
