id,college code,college code,college type
747,ENGINEERING,6215,MAHENDRA COLLEGE OF ENGINEERING
835,ENGINEERING,7203,Akshaya college of engineering and technology
765,ENGINEERING,6233,VETRI VINAYAHA COLLEGE OF ENGINEERING AND TECHNOLOGY
772,ENGINEERING,7104,CHRIST THE KING ENGINEERING COLLEGE
901,ENGINEERING,7321,Nandha College of Technology
940,ENGINEERING,8122,M.A.M.B. SCHOOL
1062,ENGINEERING,9218,Sree Sowdambika College of Engineering Aruppukottai 
722,ENGINEERING,6130,VIVEKANANDHA COLLEGE OF TECHNOLOGY FOR WOMEN
1016,ENGINEERING,9108,KARAIKUDI INSTITUTE OF TECHNOLOGY AND KARAIKUDI INSTITUTE OF MANAGEMENT
959,ENGINEERING,8142,SHRI ANGALA AMMAN COLLEGE OF ENGINEERING AND TECHNOLOGY
788,ENGINEERING,7120,MAHARAJA INSTITUTE OF TECHNOLOGY
569,ENGINEERING,3113,MEASI ACADEMY OF ARCHITECTURE
1047,ENGINEERING,9203,CHRISTIAN COLLEGE OF ENGINEERING AND TECHNOLOGY
778,ENGINEERING,7110,INFO INSTITUTE OF ENGINEERING
545,ENGINEERING,2126,Sri muthukumaran institute of Technology 
658,ENGINEERING,5103,ARULMIGU MEENAKSHI AMMAN COLLEGE OF ENGINEERING
1060,ENGINEERING,9216,SBM COLLEGE OF ENGINEERING AND TECHNOLOGY
812,ENGINEERING,7144,TEJAA SHAKTHI INSTITUTE OF TECHNOLOGY FOR WOMEN
814,ENGINEERING,7146,R V S COLLEGE OF COMPUTER APPLICATION
626,ENGINEERING,4178,S.R.M. ENGINEERING COLLEGE
596,ENGINEERING,4103,ARM COLLEGE OF ENGINEERING AND TECHNOLOGY
622,ENGINEERING,4129,VI INSTITUTE OF TECHNOLOGY
612,ENGINEERING,4119,SHRI ANDAL ALAGAR COLLEGE OF ENGINEERING
628,ENGINEERING,4202,A.C.T. COLLEGE OF ENGINEERING AND TECHNOLOGY
631,ENGINEERING,4205,AKSHEYAA COLLEGE OF ENGINEERING
667,ENGINEERING,5112,KANCHI PALLAVAN ENGINEERING COLLEGE
671,ENGINEERING,5116,PALLAVA RAJA COLLEGE OF ENGINEERING
670,ENGINEERING,5115,P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY
538,ENGINEERING,2119,RAJIV GANDHI COLLEGE OF ENGINEERING
586,ENGINEERING,3129,ANAND SCHOOL OF ARCHITECTURE
621,ENGINEERING,4128,SRM VALLIAMMAI ENGINEERING COLLEGE
553,ENGINEERING,2178,SRI PADMAVATHY COLLEGE OF ENGINEERING
554,ENGINEERING,2179,V.K.K. VIJAYAN ENGINEERING COLLEGE
576,ENGINEERING,3119,ROYAL INSTITUTE OF MANAGEMENT STUDIES & COMPUTER APPLICATION
584,ENGINEERING,3127,THE NEW ROYAL COLLEGE OF ENGINEERING AND TECHNOLOGY
598,ENGINEERING,4105,ARS COLLEGE OF ENGINEERING
603,ENGINEERING,4110,GOPAL RAMALINGAM MEMORIAL ENGINEERING COLLEGE
613,ENGINEERING,4120,Tagore Engineering College
844,ENGINEERING,7212,KARPAGAM INSTITUTE OF TECHNOLOGY
678,ENGINEERING,5123,S.K.P. INSTITUTE OF TECHNOLOGY
677,ENGINEERING,5122,S.K.P. ENGINEERING COLLEGE
675,ENGINEERING,5120,SRI RAMANA MAHARISHI COLLEGE OF ENGINEERING
761,ENGINEERING,6229,T.S.M. JAIN COLLEGE OF TECHNOLOGY
938,ENGINEERING,8120,M.A.M. COLLEGE OF ENGINEERING AND TECHNOLOGY
481,ENGINEERING,1109,JAYA SURIYA ENGINEERING COLLEGE
482,ENGINEERING,1110,JOHN BOSCO ENGINEERING COLLEGE
494,ENGINEERING,1122,SEVA RATHNA VALLAL RCK COLLEGE OF ENGINEERING
510,ENGINEERING,1138,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY
880,ENGINEERING,7278,SRI KRISHNA COLLEGE OF TECHNOLOGY
496,ENGINEERING,1124,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY
507,ENGINEERING,1135,Aalim Muhammed Salegh Academy of Architecture
478,ENGINEERING,1106,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY
479,ENGINEERING,1107,J N N INSTITUTE OF ENGINEERING
501,ENGINEERING,1129,VEL TECH
497,ENGINEERING,1125,SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY
475,ENGINEERING,1103,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY
506,ENGINEERING,1134,KUMARAN INSTITUTE OF TECHNOLOGY
476,ENGINEERING,1104,BHAJARANG ENGINEERING COLLEGE
874,ENGINEERING,7243,HINDUSTAN SCHOOL OF ARCHITECTURE
480,ENGINEERING,1108,JAYA ENGINEERING COLLEGE
474,ENGINEERING,1102,AALIM MUHAMMED SALEGH ACADEMY OF ARCHITECTURE
495,ENGINEERING,1123,SRI KRISHNA COLLEGE OF ENGINEERING
508,ENGINEERING,1136,SCHOOL OF ARCHITECTURE ST.PETER'S COLLEGE OF ENGINEERING AND TECHNOLOGY
511,ENGINEERING,1139,INTERNATIONAL MARITIME ACADEMY
512,ENGINEERING,1176,DEEN DAYAL ENGINEERING COLLEGE
514,ENGINEERING,1178,RAJA RAJESWARI ENGINEERING COLLEGE
486,ENGINEERING,1119,S A Engineering College
600,ENGINEERING,4107,DHANALAKSHMI COLLEGE OF ENGINEERING
518,ENGINEERING,1182,P.M.R. INSTITUTE OF TECHNOLOGY
909,ENGINEERING,7329,VELALAR COLLEGE OF ENGINEERING AND TECHNOLOGY
485,ENGINEERING,1113,R.M.K.Engineering College
484,ENGINEERING,1112,R.M.D. Engineering College
489,ENGINEERING,1116,R.M.K. ENGINEERING COLLEGE
513,ENGINEERING,1177,J.A. INSTITUTE OF ENGINEERING AND TECHNOLOGY
516,ENGINEERING,1180,VEL TECH
517,ENGINEERING,1181,DR.M.G.R. ENGINEERING COLLEGE
526,ENGINEERING,2107,KALSAR COLLEGE OF ENGINEERING
540,ENGINEERING,2121,SAKTHI MARIAMMAN ENGINEERING COLLEGE
520,ENGINEERING,2101,ALPHA COLLEGE OF ENGINEERING
529,ENGINEERING,2110,JEPPIAAR MAAMALLAN ENGINEERING COLLEGE
532,ENGINEERING,2113,P.B. COLLEGE OF ENGINEERING
499,ENGINEERING,1127,St.Peter's College of Engineering and Technology- Avadi- Chennai 
533,ENGINEERING,2114,PANIMALAR ENGINEERING COLLEGE
527,ENGINEERING,2108,KINGS ENGINEERING COLLEGE
521,ENGINEERING,2102,APOLLO ENGINEERING COLLEGE
530,ENGINEERING,2111,MADHA ENGINEERING COLLEGE
531,ENGINEERING,2112,MADHA INSTITUTE OF ENGINEERING AND TECHNOLOGY
537,ENGINEERING,2118,RAJALAKSHMI SCHOOL OF ARCHITECTURE
491,ENGINEERING,1114,S.A. ENGINEERING COLLEGE
523,ENGINEERING,2104,CHENNAI INSTITUTE OF TECHNOLOGY
544,ENGINEERING,2125,SRI KALAIMAGAL COLLEGE OF ENGINEERING
528,ENGINEERING,2109,LOYOLA INSTITUTE OF TECHNOLOGY
498,ENGINEERING,1126,J N N Institute of Engineering 
941,ENGINEERING,8123,M.A.R. COLLEGE OF ENGINEERING AND TECHNOLOGY
556,ENGINEERING,3101,ANAND INSTITUTE OF HIGHER TECHNOLOGY
562,ENGINEERING,3106,EASWARI ENGINEERING COLLEGE
555,ENGINEERING,3100,ANNA UNIVERSITY- TARAMANI CAMPUS
572,ENGINEERING,3115,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE
