id,college code,college code,college type
1370,213,SRI KRISHNA POLYTECHNIC COLLEGE,POLYTECHNIC
1372,215,SAKTHI POLYTECHNIC COLLEGE,POLYTECHNIC
1374,218,SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE,POLYTECHNIC
1384,275,G R G POLYTECHNIC COLLEGE ,POLYTECHNIC
1379,224,ANNAMALAI POLYTECHNIC COLLEGE,POLYTECHNIC
1375,219,VALIVALAM DESIKAR POLYTECHNIC COLLEGE,POLYTECHNIC
1792,1234567,Demo College 2,ENGINEERING
1383,231,N P A CENTENARY POLYTECHNIC COLLEGE,POLYTECHNIC
944,8126,M.A.M College of Engineering,ENGINEERING
1380,227,MOHAMMED SATHAK POLYTECHNIC COLLEGE,POLYTECHNIC
1381,228,ARASAN GANESAN POLYTECHNIC COLLEGE,POLYTECHNIC
1389,303,SRI NALLALAGHU POLYTECHNIC COLLEGE,POLYTECHNIC
1376,220,PATTUKKOTTAI POLYTECHNIC COLLEGE,POLYTECHNIC
1371,214,E I T POLYTECHNIC COLLEGE,POLYTECHNIC
1386,280,A D J DHARMAMBAL POLYTECHNIC COLLEGE,POLYTECHNIC
1377,222,ARULMIGU PALANIANDAVAR POLYTECHNIC COLLEGE,POLYTECHNIC
1373,217,S S M POLYTECHNIC COLLEGE,POLYTECHNIC
1388,302,MEENAKSHI AMMAL POLYTECHNIC COLLEGE,POLYTECHNIC
1395,311,SWAMY ABEDHANANDHA POLYTECHNIC COLLEGE,POLYTECHNIC
1392,306,SRIRAM POLYTECHNIC COLLEGE,POLYTECHNIC
1382,230,KAMARAJ POLYTECHNIC COLLEGE,POLYTECHNIC
1413,334,C C M RAMAKRISHNA POLYTECHNIC COLLEGE,POLYTECHNIC
1410,331,SUBRAMANIAN POLYTECHNIC COLLEGE,POLYTECHNIC
1405,325,ANNAI J K K SAMPOORANI AMMAL POLYTECHNIC COLLEGE,POLYTECHNIC
1398,315,SANKARA POLYTECHNIC COLLEGE,POLYTECHNIC
1417,340,K L NAGASWAMY MEMORIAL POLYTECHNIC COLLEGE,POLYTECHNIC
1414,335,THE KARUR POLYTECHNIC COLLEGE,POLYTECHNIC
1401,319,NANJAPPA  POLYTECHNIC COLLEGE,POLYTECHNIC
1402,320,KONGU POLYTECHNIC COLLEGE,POLYTECHNIC
1403,323,THIRU RAMAKRISHNA NALLAMMAI POLYTECHNIC COLLEGE,POLYTECHNIC
1138,9615,MARIA COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING
1400,318,NANJIAH LINGAMMAL POLYTECHNIC COLLEGE,POLYTECHNIC
1396,312,PANDIYAN POLYTECHNIC COLLEGE,POLYTECHNIC
1407,327,MUTHAYAMMAL POLYTECHNIC COLLEGE,POLYTECHNIC
1404,324,AL-AMEEN POLYTECHNIC COLLEGE,POLYTECHNIC
1411,332,A V C C POLYTECHNIC COLLEGE,POLYTECHNIC
1412,333,SHANMUGA POLYTECHNIC COLLEGE,POLYTECHNIC
1423,347,ARULMIGU KALASALINGAM POLYTECHNIC COLLEGE,POLYTECHNIC
1409,329,C S I POLYTECHNIC COLLEGE,POLYTECHNIC
1399,317,SREE NARAYANAGURU POLYTECHNIC COLLEGE,POLYTECHNIC
1418,341,RATHINAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,POLYTECHNIC
1419,342,THE CHRISTIAN INST. FOR TECH EDN POLYTECH COLLEGE,POLYTECHNIC
1420,343,THANGAM-MUTHU POLYTECHNIC COLLEGE,POLYTECHNIC
1421,345,THANAPANDIYAN POLYTECHNIC COLLEGE,POLYTECHNIC
1422,346,SEIKALATHUR KAMATCHIAMMAN POLYTECHNIC COLLEGE,POLYTECHNIC
1416,337,M I E T POLYTECHNIC COLLEGE,POLYTECHNIC
1424,348,RAMU SEETHA POLYTECHNIC COLLEGE,POLYTECHNIC
1438,363,SRINIVASA POLYTECHNIC COLLEGE,POLYTECHNIC
1455,382,ADHIYAMAAN POLYTECHNIC COLLEGE,POLYTECHNIC
1446,372,PANIMALAR POLYTECHNIC COLLEGE,POLYTECHNIC
1443,368,KALAIVANAR N S K POLYTECHNIC COLLEGE,POLYTECHNIC
1428,352,LAKSHMIAMMAL POLYTECHNIC COLLEGE,POLYTECHNIC
1431,355,ST XAVIERS POLYTECHNIC COLLEGE,POLYTECHNIC
1432,356,MORNING STAR POLYTECHNIC COLLEGE,POLYTECHNIC
1433,357,NOORUL ISLAM POLYTECHNIC COLLEGE,POLYTECHNIC
1434,358,SRI VENKATESWARA POLYTECHNIC COLLEGE,POLYTECHNIC
1435,359,THAI MOOGAMBIGAI POLYTECHNIC COLLEGE,POLYTECHNIC
1408,328,K S RENGASAMY INSTITUTE OF TECHNOLOGY,POLYTECHNIC
1437,362,RAJAJI INSTITUTE OF TECHNOLOGY,POLYTECHNIC
1442,367,MSP VELAYUTHANADAR LAKSHMITHAIAMMAL  POLY.COLLEGE,POLYTECHNIC
1439,364,G M S  M A V M M POLYTECHNIC COLLEGE,POLYTECHNIC
1440,365,PARK AMC POLYTECHNIC COLLEGE,POLYTECHNIC
1441,366,ARULMIGU SENTHILANDAVAR POLYTECHNIC COLLEGE,POLYTECHNIC
1454,381,SREE KRISHNA POLYTECHNIC COLLEGE,POLYTECHNIC
1452,379,I R T POLYTECHNIC COLLEGE,POLYTECHNIC
1444,370,PALLAVAN POLYTECHNIC COLLEGE,POLYTECHNIC
1447,373,THIRU SEVEN HILLS POLYTECHNIC COLLEGE,POLYTECHNIC
1448,374,C P C L POLYTECHNIC COLLEGE,POLYTECHNIC
1430,354,GOMATHI AMBAL POLYTECHNIC COLLEGE,POLYTECHNIC
1429,353,S A RAJA'S POLYTECHNIC COLLEGE,POLYTECHNIC
1449,375,MODERATOR GNANADASAN POLYTECHNIC COLLEGE,POLYTECHNIC
1426,350,SRI SOWDAMBIKA POLYTECHNIC COLLEGE,POLYTECHNIC
1450,377,N A MANJAMMAL POLYTECHNIC COLLEGE,POLYTECHNIC
843,7211,STUDY WORLD COLLEGE OF ENGINEERING, COIMBATORE,ENGINEERING
889,7309,EXCEL ENGINEERING COLLEGE,ENGINEERING
1458,385,SRI BALAJI POLYTECHNIC COLLEGE,POLYTECHNIC
1048,9204,Kamaraj College of Engineering and Technology ,ENGINEERING
1453,380,I R T POLYTECHNIC COLLEGE,POLYTECHNIC
867,7236,Pollachi institute of engineering and technology, pollachi,ENGINEERING
846,7215,Nehru Institute of Information Technology and Management ,ENGINEERING
897,7317,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,ENGINEERING
886,7306,EXCEL COLLEGE OF ARCHITECTURE AND PLANNING,ENGINEERING
895,7315,K.S.R. COLLEGE OF ENGINEERING,ENGINEERING
882,7302,Al ameen Engineering College (Autonomous),ENGINEERING
927,8109,Holy Angels School of Business,ENGINEERING
852,7221,SVS School of Architecture,ENGINEERING
900,7320,MAHARAJA PRITHVI ENGINEERING COLLEGE,ENGINEERING
899,7319,MAHARAJA ENGINEERING COLLEGE FOR WOMEN,ENGINEERING
898,7318,MAHARAJA ENGINEERING COLLEGE,ENGINEERING
1460,387,SRI KRISHNA POLYTECHNIC COLLEGE,POLYTECHNIC
1461,388,RANIPET INSTITUTE OF TECHNOLOGY,POLYTECHNIC
894,7314,J.K.K.MUNIRAJAH SCHOOL OF ARCHITECTURE,ENGINEERING
1466,409,HIET POLYTECHNIC COLLEGE,POLYTECHNIC
890,7310,GEM BUSINESS ACADEMY,ENGINEERING
1465,408,SIGA POLYTECHNIC COLLEGE,POLYTECHNIC
1464,405,INSTITUTE OF CERAMIC TECHNOLOGY,POLYTECHNIC
1467,410,S M P A INSTITUTE OF PRINTING TECHNOLOGY,POLYTECHNIC
1457,384,VIGNESH POLYTECHNIC COLLEGE,POLYTECHNIC
1459,386,DR M G R POLYTECHNIC COLLEGE,POLYTECHNIC
888,7308,EXCEL COLLEGE OF TECHNOLOGY,ENGINEERING
509,1137,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY ,ENGINEERING
1481,510,RUDHRAVENI MUTHUSAMY POLYTECHNIC COLLEGE,POLYTECHNIC
1468,413,INSTITUTE OF TOOL ENGINEERING,POLYTECHNIC
1480,509,ER. PERUMAL MANIMEKALAI POLYTECHNIC COLLEGE,POLYTECHNIC
1482,511,SRI RAMAKRISHNA POLYTECHNIC COLLEGE,POLYTECHNIC
734,6202,Annai mathammal sheela Engineering college ,ENGINEERING
505,1133,Annai Veilankanni's college of Engineering,ENGINEERING
1793,123456789,Demo college,ENGINEERING
821,7153,Asian College of Engineering and Technology ,ENGINEERING
522,2103,Arignar Anna institute of science and technology ,ENGINEERING
1484,513,LATHA MATHAVAN POLYTECHNIC COLLEGE,POLYTECHNIC
1074,9230,Arulmurugan College Of Engineering, Karur,ENGINEERING
656,5101,Adhiparasakthi College of Engineering,ENGINEERING
769,7100,Anna University, Regional Campus Coimbatore,ENGINEERING
1473,501,JAYARAJ ANNAPACKIAM C S I POLYTECHNIC COLLEGE,POLYTECHNIC
1475,503,S A POLYTECHNIC COLLEGE,POLYTECHNIC
1478,507,PRIYADARSHINI POLYTECHNIC COLLEGE,POLYTECHNIC
1488,517,KRISHNASAMY MEMORIAL POLYTECHNIC COLLEGE,POLYTECHNIC
1479,508,MARUTHI POLYTECHNIC COLLEGE,POLYTECHNIC
1474,502,SRI SAIRAM POLYTECHNIC COLLEGE,POLYTECHNIC
1477,506,KUMARAN POLYTECHNIC COLLEGE,POLYTECHNIC
1487,516,VENKATESWARA POLYTECHNIC COLLEGE,POLYTECHNIC
1483,512,SRI VENKATESWARA POLYTECHNIC COLLEGE,POLYTECHNIC
1496,528,SEMBODAI R V POLYTECHNIC COLLEGE,POLYTECHNIC
1501,535,RAJADESINGH POLYTECHNIC COLLEGE,POLYTECHNIC
871,7240,DHAANISH AHMED INSTITUTE OF TECHNOLOGY,COIMBATORE,ENGINEERING
1497,529,K A R POLYTECHNIC COLLEGE,POLYTECHNIC
1092,9508,Government College of Engineering,ENGINEERING
1006,8301,Government College of Engineering Srirangam ,ENGINEERING
1489,519,SCAD GRAMODHAYA POLYTECHNIC COLLEGE,POLYTECHNIC
779,7111,Jansons Institute of Technology ,ENGINEERING
1012,9104,Fatima Michael College of engineering and technology ,ENGINEERING
1510,547,S R I POLYTECHNIC COLLEGE,POLYTECHNIC
1507,544,S M ARUMUGAM POLYTECHNIC COLLEGE,POLYTECHNIC
