id,branch,
1063,TEXTILE DESIGNING AND WEAVING (FULL TIME),Polytechnic
1064,TEXTILE MARKETING AND MANAGEMENT (FULL TIME),Polytechnic
1065,TEXTILE ENGINEERING (FULL TIME),Polytechnic
1066,GARMENT TECHNOLOGY (FULL TIME),Polytechnic
1067,KNITTING TECHNOLOGY (FULL TIME),Polytechnic
1068,TEXTILE TECHNOLOGY (KNITTING) (FULL TIME),Polytechnic
1069,APPAREL TECHNOLOGY,Polytechnic
1070,CHEMICAL TECHNOLOGY (FULL TIME),Polytechnic
1071,PETRO-CHEMICAL TECHNOLOGY (FULL TIME),Polytechnic
1072,PETROLEUM ENGINEERING (FULL TIME),Polytechnic
1073,PLASTIC TECHNOLOGY (FULL TIME),Polytechnic
1074,SUGAR TECHNOLOGY (FULL TIME),Polytechnic
1075,PETROCHEMICAL ENGINEERING (FULL TIME),Polytechnic
1076,CHEMICAL ENGINEERING (FULL TIME),Polytechnic
1077,LEATHER TECHNOLOGY (FOOTWEAR) (FULL TIME),Polytechnic
1080,COMMERCIAL PRACTICE (FULL TIME),Polytechnic
1081,MODERN OFFICE PRACTICE (FULL TIME),Polytechnic
1091,AIRCRAFT MAINTENANCE ENGINEERING(AVIONICS),Polytechnic
1092,AERONAUTICAL ENGINEERING,Polytechnic
1093,BIOMEDICAL ENGINEERING,Polytechnic
1121,MINING ENGINEERING (FULL TIME),Polytechnic
1122,FIRE TECHNOLOGY AND SAFETY,Polytechnic
1141,MEDICAL ELECTRONICS,Polytechnic
1142,MEDICAL LABORATORY TECHNOLOGY,Polytechnic
1143,TECHNICIAN X-RAY TECHNOLOGY,Polytechnic
1144,AUTOMATION AND ROBOTICS,Polytechnic
1201,CERAMIC TECHNOLOGY (FULL TIME),Polytechnic
1202,PRINTING TECHNOLOGY (FULL TIME),Polytechnic
1203,COSTUME DESIGN AND DRESS MAKING (FULL TIME),Polytechnic
1204,FILM TECHNOLOGY AND T V PRODUCTION (FULL TIME),Polytechnic
1205,FILM PROCESSING,Polytechnic
1206,DIRECTION SCREEN PLAY WRITING AND T V PRODUCTION (FULL TIME),Polytechnic
1207,FILM EDITING AND TELEVISION PRODUCTION (FULL TIME),Polytechnic
1208,PROSTHETICS AND ORTHOTICS ENGINEERING (FULL TIME),Polytechnic
1209,HOTEL MANAGEMENT AND CATERING TECHNOLOGY (FULL TIME),Polytechnic
1210,COMMUNITY DEVELOPMENT AND CHILD WELFARE (FULL TIME),Polytechnic
1211,COSMETOLOGY AND PHYSIQUE CULTURE,Polytechnic
1212,INDUSTRIAL SAFETY (FULL TIME),Polytechnic
1213,HOTEL MANAGEMENT AND CATERING TECHNOLOGY (CENTRAL),Polytechnic
1214,HOTEL MANAGEMENT AND CATERING TECHNOLOGY (FULL TIME),Polytechnic
1215,FASION DESIGN & CLOTHING TECHNOLOGY (FULL TIME),Polytechnic
1216,VISUAL DESIGN COMMUNICATION (FULL TIME),Polytechnic
1217,INTERIOR DESIGN,Polytechnic
1218,TEXTILE DESIGN (FULL TIME),Polytechnic
1220,MECHANICAL ENGINEERING (TOOL AND DIE) (FULL TIME),Polytechnic
1221,MECHANICAL ENGINEERING (REFRIGERATION & AIR-CONDITIONING) (FT),Polytechnic
1222,AGRICULTURAL TECHNOLOGY (FULL TIME),Polytechnic
1223,FASHION TECHNOLOGY (FULL TIME),Polytechnic
1224,TEXTILE TECHNOLOGY (TEXTILE DESIGN AND WEAVING),Polytechnic
1225,TEXTILE TECHNOLOGY (MAN MADE FIBRE),Polytechnic
1226,APPLIED ARTS AND CRAFTS (FASHION AND APPAREL DESIGN)(FULL TIME),Polytechnic
1227,SHUTTLELESS WEAVING (FULL TIME),Polytechnic
1228,HOME TEXTILES (FULL TIME),Polytechnic
1229,TEXTRONICS (FULL TIME),Polytechnic
1230,TEXTILE TECHNOLOGY (KNITTING & GARMENT TECHNOLOGY),Polytechnic
1501,FILM TECHNOLOGY AND T V PRODUCTION (CINEMATOGRAPHY) (FULL TIME),Polytechnic
1502,FILM TECHNOLOGY AND T V PRODUCTION ( FILM PROCESSING) (FULL TIME),Polytechnic
1503,FILM TECHNOLOGY AND T V PRODUCTION ( SR & SE) (FULL TIME),Polytechnic
1504,DIRECTION AND SCREEN PLAY WRITING AND T V PRODUCTION (FULL TIME),Polytechnic
1505,FILM EDITING AND TELEVISION PRODUCTION (FULL TIME),Polytechnic
1506,FILM TECHNOLOGY (ANIMATION AND VISUAL EFFECTS) (FULL TIME),Polytechnic
1507,FILM TECHNOLOGY AND T V PRODUCTION ( DIGITAL INTERMEDIATE ) (FULL TIME),Polytechnic
1508,FILM TECHNOLOGY AND T V PRODUCTION (CINEMATOGRAPHY) (FULL TIME),Polytechnic
1509,FILM TECHNOLOGY AND T V PRODUCTION ( SR & SE) (FULL TIME),Polytechnic
1510,DIRECTION AND SCREEN PLAY WRITING AND T V PRODUCTION (FULL TIME),Polytechnic
1511,FILM EDITING AND TELEVISION PRODUCTION (FULL TIME),Polytechnic
2010,CIVIL ENGINEERING (SANDWICH),Polytechnic
2020,MECHANICAL ENGINEERING (SANDWICH),Polytechnic
2021,MECHANICAL ENGINEERING ((FOUNDRY) SWC),Polytechnic
2022,MECHANICAL ENGINEERING (MACHINE TOOL MAINTENANCE & REPAIRS) (SWC),Polytechnic
2030,ELECTRICAL AND ELECTRONICS ENGINEERING(SANDWICH),Polytechnic
2047,MECHATRONICS ENGINEERING (SANDWICH),Polytechnic
2060,TEXTILE TECHNOLOGY (SANDWICH),Polytechnic
2061,TEXTILE PROCESSING (SANDWICH),Polytechnic
2072,PLASTIC TECHNOLOGY (SANDWICH),Polytechnic
2073,PLASTIC ENGINEERING (SANDWICH),Polytechnic
2074,POLYMER TECHNOLOGY (SANDWICH),Polytechnic
2076,PULP AND PAPER TECHNOLOGY (SANDWICH),Polytechnic
2077,FISHERIES TECHNOLOGY & NAVIGATION ENGG (SANDWICH),Polytechnic
2078,FISHERIES TECHNOLOGY (SANDWICH),Polytechnic
2079,CHEMICAL ENGINEERING (SANDWICH)),Polytechnic
2080,CERAMIC TECHNOLOGY(SANDWICH),Polytechnic
2101,LEATHER TECHNOLOGY (SANDWICH),Polytechnic
2102,ARCHITECTURAL ASSISTANTSHIP (SANDWICH),Polytechnic
2103,MACHINE TOOL MAINTENANCE AND REPAIRS (SANDWICH),Polytechnic
2104,FOUNDRY TECHNOLOGY (SANDWICH),Polytechnic
2105,FOOTWEAR TECHNOLOGY (FULL TIME),Polytechnic
2149,ROBOTICS AND AUTOMATION ENGINEERING,Polytechnic
3010,CIVIL ENGINEERING (PART TIME),Polytechnic
3020,MECHANICAL ENGINEERING (PART TIME),Polytechnic
3030,ELECTRICAL AND ELECTRONICS ENGINEERING (PART TIME),Polytechnic
3040,ELECTRONICS AND COMMUNICATION ENGINEERING (PART TIME),Polytechnic
3045,ELECTRONICS (WSI) (PARTTIME),Polytechnic
3072,PETROLEUM ENGINEERING (PARTTIME),Polytechnic
3075,PETROCHEMICAL ENGINEERING (PART TIME),Polytechnic
3202,PRINTING TECHNOLOGY,Polytechnic
4010,CIVIL ENGINEERING (PRIVATE),Polytechnic
4020,MECHANICAL ENGINEERING (PRIVATE),Polytechnic
4030,ELECTRICAL AND ELECTRONICS ENGINEERING (PRIVATE),Polytechnic
4060,TEXTILE TECH  (MAN MADE FIBRE TECH),Polytechnic
5101,POST DIPLOMA IN COMPUTER APPLICATIONS,Polytechnic
5102,POST DIPLOMA IN KNITTING AND GARMENT TECHNOLOGY,Polytechnic
5103,POST DIPLOMA IN PETRO CHEMICAL TECHNOLOGY,Polytechnic
5104,POST DIPLOMA IN MEDICAL EQUIPMENT TECHNOLOGY,Polytechnic
5105,POST DIPLOMA IN AUTOMOBILE ENGINEERING,Polytechnic
5106,POST DIPLOMA IN WELDING TECHNOLOGY,Polytechnic
5107,POST DIPLOMA IN CONSTRUCTION TECHNOLOGY,Polytechnic
5108,POST DIPLOMA IN DIE AND TOOL DESIGN,Polytechnic
5109,POST DIPLOMA IN AUTOMOBILE ENGINEERING,Polytechnic
5110,POST DIPLOMA IN TOOL DESIGN,Polytechnic
5111,POST DIPLOMA IN ADVANCED TOOL AND DIE DESIGN,Polytechnic
5112,POST DIPLOMA IN TELEVISION ENGINEERING,Polytechnic
5113,POST DIPLOMA IN QUANTITY SURVEYING,Polytechnic
5114,POST DIPLOMA IN TEXTILE WET PROCESSING,Polytechnic
5115,POST DIPLOMA IN TOWN AND COUNTRY PLANNING,Polytechnic
5119,POST DIPLOMA IN METALLURGY,Polytechnic
5201,POST DIPLOMA IN REFRIGERATION AND AIR CONDITIONING,Polytechnic
5202,P D IN ADVANCED TECHNOLOGICAL COURSE IN R & A/C (SWC),Polytechnic
5203,POST DIPLOMA IN COMPUTER AIDED TEXTILE MANUFACTURE,Polytechnic
5204,P D IN KNITTING AND GARMENT MANUFACTURING TECHNOLOGY,Polytechnic
5205,POST DIPLOMA IN TOOL AND DIE MAKING,Polytechnic
5206,POST DIPLOMA IN INDUSTRIAL ENGINEERING,Polytechnic
5207,POST DIPLOMA IN FASHION TECHNOLOGY,Polytechnic
5301,POST DIPLOMA IN REFRIGERATION AND AIR CONDITIONING (PART TIME),Polytechnic
5310,POST DIPLOMA IN METALLURGY (PART TIME),Polytechnic
5311,POST DIPLOMA IN TOOL DESIGN (PART TIME),Polytechnic
5314,POST DIPLOMA IN QUANTITY SURVEYING (PART TIME),Polytechnic
6101,CERTIFICATE IN SALESMANSHIP,Polytechnic
6102,CERTIFICATE IN BAKERY AND CONFECTIONERY,Polytechnic
6103,CERTIFICATE IN FRONT OFFICE BOOK KEEPING AND HOUSE KEEPING,Polytechnic
6104,CERTIFICATE IN FOOD AND BEVERAGE SERVICE,Polytechnic
6105,CERTIFICATE IN FOOD PRODUCTION,Polytechnic
6106,CERTIFICATE IN HOUSE KEEPING,Polytechnic
6107,CERTIFICATE IN SOCIAL WORK,Polytechnic
6108,CERTIFICATE IN LITHOGRAPHIC ART WORK,Polytechnic
6109,CERTIFICATE IN COOKERY,Polytechnic
6110,CERTIFICATE IN KNITTING AND EMBROIDERY,Polytechnic
6111,CERTIFICATE IN ACTING,Polytechnic
6112,CERTIFICATE IN CAMERA AND SCANNER OPERATION,Polytechnic
6113,CERTIFICATE IN TYPE SETTING AND DESK TOP PUBLISHING,Polytechnic
6114,CERTIFICATE IN OFFSET MACHINE PRINTING,Polytechnic
6115,CERTIFICATE IN TEXTILE WEAVING,Polytechnic
6116,ARTISIAN COURSE IN TANNERY OPERATORS,Polytechnic
6117,ELECTRICAL SUPERVISOR'S COMPETENCY CERTIFICATE COURSE,Polytechnic
6118,CERTIFICATE IN PRE-PRESS WORK,Polytechnic
6119,CERTIFICATE IN PRINTING TECHNOLOGY,Polytechnic
7002,AD,Engineering
7003,CB,Engineering
7005,B.Tech. Food Technology,Engineering
7006,B.Tech. Computer Science and Business Systems,Engineering
7013,B.E Mechanical and automation engineering,Engineering
7020,B.Tech Construction Engineering and Management,Engineering
7072,INFORMATION SYSTEMS,Engineering
7073,SOFTWARE SYSTEMS,Engineering
