4207,C.K. COLLEGE OF ENGINEERING & TECHNOLOGY,1187
4203,A.R. ENGINEERING COLLEGE,184
3108,Jeppiaar Engineering College ,1190
4227,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,750
4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,69
5110,J E I MATHAAJEE COLLEGE OF ENGINEERING,48
4213,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY,803
5118,PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY,252
5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,317
9201,BHARATH NIKETAN ENGINEERING COLLEGE,525
4216,Mailam engineering college,1409
9635,STELLA MARY'S COLLEGE OF ENGINEERING,925
5106,C.  Abdul Hakeem college of engineering and technology,857
4121,SRI KRISHNA INSTITUTE OF TECHNOLOGY,74
6110,JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,1119
4222,Surya Group of Institutions ,675
6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,651
5135,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY,496
5131,THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY,0
9238,MANGAYARKARASI COLLEGE OF ENGINEERING,857
6205,CMS COLLEGE OF ENGINEERING ,324
6127,THE KAVERY ENGINEERING COLLEGE,927
6231,VSA GROUP OF INSTITUTIONS,524
6124,Shree Sathyam College of Engineering and Technology ,282
6236,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,0
6211,Idhaya Engineering College for Women,193
4116,Prince Dr.K.Vasudevan College of Engineering and Technology,156
7131,SRI SAI RANGANATHAN ENGINEERING COLLEGE,374
7117,KGISL INSTITUTE OF TECHNOLOGY,1117
7129,RVS TECHNICAL CAMPUS-COIMBATORE,526
7181,SRI RAMAKRISHNA ENGINEERING COLLEGE,0
8220,Star Lion College of Engineering and Technology,667
7142,Tamilnadu College of Engineering ,353
7205,EASA College of Engg and Technology,243
9537,AAA College of Engineering and Technology,870
7111,Jansons Institute of Technology ,845
6115,Mahindra Institute of Engineering & Technology,306
4130,ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING,495
1133,Velammal Institute of Technology,932
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,1040
9500,ANNA UNIVERSITY REGIONAL CAMPUS, TIRUNELVELI,660
4225,UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,737
4220,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,458
9530,ST.MOTHER THERESA ENGINEERING COLLEGE,616
9623,AMRITA COLLEGE OF ENGINEERING AND TECHNOLOGY,1132
4127,Tagore Engineering College ,454
8217,Sir Issac Newton College of Engineering and Technology,853
9128,Syed Ammal Engineering College,618
7325,SHREE VENKATESHWARA HI-TECH ENGINEERING COLLEGE,1056
7331,VIDYAA VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,387
7316,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,870
8106,DR.NAVALAR NEDUNCHEZHIYAN COLLEGE OF ENGINEERING,123
7312,JKK MUNIRAJAH COLLEGE OF TECHNOLOGY ,307
9103,CHENDHURAN COLLEGE OF ENGINEERING AND TECHNOLOGY,167
8203,A.V.C COLLEGE OF ENGINEERING,1038
8218,SMR EAST COAST COLLEGE OF ENGINEERING AND TECHNOLOGY,19
9110,LATHA MATHAVAN ENGINEERING COLLEGE,486
9124,SHANMUGANATHAN ENGINEERING COLLEGE,553
8211,Kings College of Engineering ,936
9127,ST.MICHAEL COLLEGE OF ENGINEERING & TECHNOLOGY,265
8222,University College of Engineering Thirukkuvalai,329
9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,529
8216,Sembodai Rukmani varatharajan engineering college,77
9208,N P R COLLEGE OF ENGINEERING AND TECHNOLOGY,779
9115,MOHAMED SATHAK ENGINEERING COLLEGE,748
9123,SACS M.A.V.M.M ENGINEERING COLLEGE,724
9107,K.L.N.COLLEGE OF INFORMATION TECHNOLOGY,134
9210,Nadar Saraswathi College of Engineering and Technology,696
9126,Sri Bharathi Engineering College for Women,218
9233,GOVERNMENT COLLEGE OF ENGINEERING,1054
9602,ARUNACHALA COLLEGE OF ENGINEERING FOR WOMEN,1146
9607,IMMANUEL ARASAR J J COLLEGE OF ENGINEERING,34
9531,THAMIRABHARANI ENGINEERING COLLEGE,808
9604,C.S.I. INSTITUTE OF TECHNOLOGY,345
9512,J P COLLEGE OF ENGINEERING,980
9522,PSN COLLEGE OF ENGINEERING AND TECHNOLOGY,0
9518,NELLAI COLLEGE OF ENGINEERING,343
