4203,A.R. ENGINEERING COLLEGE,193
3108,Jeppiaar Engineering College ,1194
4227,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,782
4218,SARASWATHY COLLEGE OF ENGINEERING AND TECHNOLOGY,69
5110,J E I MATHAAJEE COLLEGE OF ENGINEERING,69
4213,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY,818
5118,PODHIGAI COLLEGE OF ENGINEERING AND TECHNOLOGY,260
5108,GANADIPATHY TULSI'S JAIN ENGINEERING COLLEGE,322
9201,BHARATH NIKETAN ENGINEERING COLLEGE,555
4216,Mailam engineering college,1434
9635,STELLA MARY'S COLLEGE OF ENGINEERING,966
5106,C.  Abdul Hakeem college of engineering and technology,871
4121,SRI KRISHNA INSTITUTE OF TECHNOLOGY,83
6110,JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,1253
4222,Surya Group of Institutions ,691
6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,697
5135,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY,505
5131,THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY,1637
9238,MANGAYARKARASI COLLEGE OF ENGINEERING,890
6205,CMS COLLEGE OF ENGINEERING ,347
6127,THE KAVERY ENGINEERING COLLEGE,957
6231,VSA GROUP OF INSTITUTIONS,562
6124,Shree Sathyam College of Engineering and Technology ,309
6236,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,0
6211,Idhaya Engineering College for Women,205
4116,Prince Dr.K.Vasudevan College of Engineering and Technology,159
7131,SRI SAI RANGANATHAN ENGINEERING COLLEGE,396
7117,KGISL INSTITUTE OF TECHNOLOGY,1120
7129,RVS TECHNICAL CAMPUS-COIMBATORE,543
7181,SRI RAMAKRISHNA ENGINEERING COLLEGE,0
8220,Star Lion College of Engineering and Technology,721
7142,Tamilnadu College of Engineering ,357
7205,EASA College of Engg and Technology,266
9537,AAA College of Engineering and Technology,888
7111,Jansons Institute of Technology ,854
6115,Mahindra Institute of Engineering & Technology,315
4130,ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING,518
1133,Velammal Institute of Technology,937
6108,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,1064
9500,ANNA UNIVERSITY REGIONAL CAMPUS, TIRUNELVELI,666
4225,UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,743
4220,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING,505
9530,ST.MOTHER THERESA ENGINEERING COLLEGE,646
9623,AMRITA COLLEGE OF ENGINEERING AND TECHNOLOGY,1148
4127,Tagore Engineering College ,467
8217,Sir Issac Newton College of Engineering and Technology,913
9128,Syed Ammal Engineering College,623
