NCNO,CNAME
1074,SUGAR TECHNOLOGY (FULL TIME)
1075,PETROCHEMICAL ENGINEERING (FULL TIME)
1076,CHEMICAL ENGINEERING (FULL TIME)
1077,LEATHER TECHNOLOGY (FOOTWEAR) (FULL TIME)
1080,COMMERCIAL PRACTICE (FULL TIME)
1081,MODERN OFFICE PRACTICE (FULL TIME)
1091,AIRCRAFT MAINTENANCE ENGINEERING(AVIONICS)
1092,AERONAUTICAL ENGINEERING
1093,BIOMEDICAL ENGINEERING
1121,MINING ENGINEERING (FULL TIME)
1122,FIRE TECHNOLOGY AND SAFETY
1141,MEDICAL ELECTRONICS
1142,MEDICAL LABORATORY TECHNOLOGY
1143,TECHNICIAN X-RAY TECHNOLOGY
1144,AUTOMATION AND ROBOTICS
1201,CERAMIC TECHNOLOGY (FULL TIME)
1202,PRINTING TECHNOLOGY (FULL TIME)
1203,COSTUME DESIGN AND DRESS MAKING (FULL TIME)
1204,FILM TECHNOLOGY AND T V PRODUCTION (FULL TIME)
1205,FILM PROCESSING
1206,DIRECTION SCREEN PLAY WRITING AND T V PRODUCTION (FULL TIME)
1207,FILM EDITING AND TELEVISION PRODUCTION (FULL TIME)
1208,PROSTHETICS AND ORTHOTICS ENGINEERING (FULL TIME)
1209,HOTEL MANAGEMENT AND CATERING TECHNOLOGY (FULL TIME)
1210,COMMUNITY DEVELOPMENT AND CHILD WELFARE (FULL TIME)
1211,COSMETOLOGY AND PHYSIQUE CULTURE
1212,INDUSTRIAL SAFETY (FULL TIME)
1213,HOTEL MANAGEMENT AND CATERING TECHNOLOGY (CENTRAL)
1214,HOTEL MANAGEMENT AND CATERING TECHNOLOGY (FULL TIME)
1215,FASION DESIGN & CLOTHING TECHNOLOGY (FULL TIME)
1216,VISUAL DESIGN COMMUNICATION (FULL TIME)
1217,INTERIOR DESIGN
1218,TEXTILE DESIGN (FULL TIME)
1220,MECHANICAL ENGINEERING (TOOL AND DIE) (FULL TIME)
1221,MECHANICAL ENGINEERING (REFRIGERATION & AIR-CONDITIONING) (FT)
1222,AGRICULTURAL TECHNOLOGY (FULL TIME)
1223,FASHION TECHNOLOGY (FULL TIME)
1224,TEXTILE TECHNOLOGY (TEXTILE DESIGN AND WEAVING)
1225,TEXTILE TECHNOLOGY (MAN MADE FIBRE)
1226,APPLIED ARTS AND CRAFTS (FASHION AND APPAREL DESIGN)(FULL TIME)
1227,SHUTTLELESS WEAVING (FULL TIME)
1228,HOME TEXTILES (FULL TIME)
1229,TEXTRONICS (FULL TIME)
1230,TEXTILE TECHNOLOGY (KNITTING & GARMENT TECHNOLOGY)
1501,FILM TECHNOLOGY AND T V PRODUCTION (CINEMATOGRAPHY) (FULL TIME)
1502,FILM TECHNOLOGY AND T V PRODUCTION ( FILM PROCESSING) (FULL TIME)
1503,FILM TECHNOLOGY AND T V PRODUCTION ( SR & SE) (FULL TIME)
1504,DIRECTION AND SCREEN PLAY WRITING AND T V PRODUCTION (FULL TIME)
1505,FILM EDITING AND TELEVISION PRODUCTION (FULL TIME)
1506,FILM TECHNOLOGY (ANIMATION AND VISUAL EFFECTS) (FULL TIME)
1507,FILM TECHNOLOGY AND T V PRODUCTION ( DIGITAL INTERMEDIATE ) (FULL TIME)
