1,Manufacturing,"Introduction to CAD, CAM, and Practical CNC Machining for Milling",,Online,https://www.autodesk.com/certification/learn/course/fusion360-intro-cad-cam-practical-cnc-associate,Autodesk Inc.,60
2,Manufacturing,Introduction to CAD and CAM for Milling and Turning,,Online,https://www.autodesk.com/certification/learn/course/fusion360-intro-cad-cam-milling-turning-associate,Autodesk Inc.,60
3,Manufacturing,CAM and Design for Manufacturing for Milling,,Online,https://www.autodesk.com/certification/learn/course/fusion360-cam-design-manufacturing-milling-associate,Autodesk Inc.,60
4,Manufacturing,Creating Toolpaths for a CNC Lathe,,Online,https://www.autodesk.com/certification/learn/course/fusion360-creating-toolpaths-for-a-cnc-lathe-associate,Autodesk Inc.,60
5,Manufacturing,CAM Strategies for Turning,,Online,https://www.autodesk.com/certification/learn/course/fusion360-cam-strategies-for-turning-associate,Autodesk Inc.,60
6,Manufacturing,CNC Toolpaths for 3 Axis Milling,,Online,https://www.autodesk.com/certification/learn/course/fusion-360-cnc-toolpaths-3-axis-milling-professional,Autodesk Inc.,60
7,Manufacturing,CAM Strategies for 3 Axis Milling,,Online,https://www.autodesk.com/certification/learn/course/fusion360-cam-strategies-for-3-axis-milling-professional,Autodesk Inc.,60
8,Manufacturing,CNC Toolpaths for Multi Axis Milling,,Online,https://www.autodesk.com/certification/learn/course/fusion-360-cnc-toolpaths-multi-axis-milling-expert,Autodesk Inc.,60
9,Manufacturing,CAM Strategies for Multi-Axis Milling,,Online,https://www.autodesk.com/certification/learn/course/fusion-360-cam-strategies-for-multi-axis-milling-expert,Autodesk Inc.,60
10,Manufacturing,Introduction to 3D Modeling for Manufacturing,,Online,https://www.autodesk.com/certification/learn/course/fusion360-intro-to-3d-modeling-associate,Autodesk Inc.,60
11,Manufacturing,Introduction to Design for Manufacturing,,Online,https://www.autodesk.com/certification/learn/course/fusion360-intro-design-manufacturing-associate,Autodesk Inc.,60
12,Manufacturing,Introduction to Modeling and Design for Manufacturing,,Online,https://www.autodesk.com/certification/learn/course/fusion360-intro-modeling-design-professional,Autodesk Inc.,60
13,Manufacturing,Simulation Analysis Studies,,Online,https://www.autodesk.com/certification/learn/course/fusion360-simulation-analysis-studies-professional,Autodesk Inc.,60
14,Manufacturing,Simulation Applications for Static Stress Analysis,,Online,https://www.autodesk.com/certification/learn/course/fusion360-simulation-applications-for-static-stress-analysis-professional,Autodesk Inc.,60
15,Manufacturing,Introduction to Generative Design for Manufacturing,,Online,https://www.autodesk.com/certification/learn/course/fusion360-generative-design-intro-expert,Autodesk Inc.,60
16,Manufacturing,Generative Design for Manufacturing Applications,,Online,https://www.autodesk.com/certification/learn/course/fusion360-generative-design-manufacturing-applications-expert,Autodesk Inc.,60
17,Aptitude,Aptitude for Placements,,Online,https://www.faceprep.in/complete-aptitude-cracker/,FACE Prep,45
18,Emerging Technologies,Blockchain for Business – Fundamentals: via Tamil medium,,Online,https://www.guvi.in/courses/blockchainTam?itm_source=courses_page&itm_medium=click,Guvi,45
19,Python,Python Programming,,Online,https://www.guvi.in/python-tamil?itm_source=courses_page&itm_medium=click,Guvi,45
20,Emerging Technologies,Cyber Security & Ethical Hacking for Beginners,,Online,https://www.guvi.in/courses/cyber_security_for_beginners__english?itm_source=courses_page&itm_medium=click,Guvi,45
21,Information Technology,MATLAB- via Tamil medium:,,Online,https://www.guvi.in/courses/matlab_tamil_v2?itm_source=courses_page&itm_medium=click,Guvi,45
22,Aptitude,Aptitude for Placements,,Online,,iamneo,120
23,Personality Development,Business Communication Skills,,Online,,iamneo,120
24,Personality Development,Effective communication,,Online,,iamneo,120
25,Information Technology,Hour of Code,,Online,,iamneo,52
26,Competitive Exams,IAS Foundation,,Online,https://learning-tnsdc.edureka.co/my-classroom/ias-foundation/coursecontent?courseId=10&fromMasterCourse=0,Veranda Learning,
27,Competitive Exams,CA Foundation,,Online,https://learning-tnsdc.edureka.co/my-classroom/ca-foundation/coursecontent?courseId=9&fromMasterCourse=0,Veranda Learning,
28,Banking,Banking Foundation,,Online,https://learning-tnsdc.edureka.co/my-classroom/banking-foundation/coursecontent?courseId=5&fromMasterCourse=0,Veranda Learning,
29,Competitive Exams,SSC Foundation,,Online,https://learning-tnsdc.edureka.co/my-classroom/ssc-foundation/coursecontent?courseId=6&fromMasterCourse=0,Veranda Learning,
30,Competitive Exams,RRB Foundation,,Online,https://learning-tnsdc.edureka.co/my-classroom/railway-foundation/coursecontent?courseId=7&fromMasterCourse=0,Veranda Learning,
31,Competitive Exams,TNPSC Foundation,,Online,https://learning-tnsdc.edureka.co/my-classroom/tnpsc-foundation/gettingstarted?courseId=8&fromMasterCourse=0,Veranda Learning,
32,Infomation Technology,Data Science Foundation,,Online,https://learning-tnsdc.edureka.co/my-classroom/data-science/coursecontent?courseId=4&fromMasterCourse=0,Veranda Learning,
33,Infomation Technology,DevOps Foundation,,Online,https://learning-tnsdc.edureka.co/my-classroom/devops/coursecontent?courseId=11&fromMasterCourse=0,Veranda Learning,
34,Infomation Technology,Java & Programming,,Online,https://learning-tnsdc.edureka.co/my-classroom/java-programming/coursecontent?courseId=13&fromMasterCourse,Veranda Learning,
35,Infomation Technology,App Development,,Online,https://learning-tnsdc.edureka.co/my-classroom/app-development/coursecontent?courseId=12&fromMasterCourse=3,Veranda Learning,
