id,branch,student count,verified student count,unverified student count
5201,POST DIPLOMA IN REFRIGERATION AND AIR CONDITIONING,0,0,0
5202,P D IN ADVANCED TECHNOLOGICAL COURSE IN R & A/C (SWC),0,0,0
5203,POST DIPLOMA IN COMPUTER AIDED TEXTILE MANUFACTURE,0,0,0
5204,P D IN KNITTING AND GARMENT MANUFACTURING TECHNOLOGY,0,0,0
5205,POST DIPLOMA IN TOOL AND DIE MAKING,0,0,0
5206,POST DIPLOMA IN INDUSTRIAL ENGINEERING,0,0,0
5207,POST DIPLOMA IN FASHION TECHNOLOGY,0,0,0
5301,POST DIPLOMA IN REFRIGERATION AND AIR CONDITIONING (PART TIME),0,0,0
5310,POST DIPLOMA IN METALLURGY (PART TIME),0,0,0
5311,POST DIPLOMA IN TOOL DESIGN (PART TIME),0,0,0
5314,POST DIPLOMA IN QUANTITY SURVEYING (PART TIME),0,0,0
6101,CERTIFICATE IN SALESMANSHIP,0,0,0
6102,CERTIFICATE IN BAKERY AND CONFECTIONERY,0,0,0
6103,CERTIFICATE IN FRONT OFFICE BOOK KEEPING AND HOUSE KEEPING,0,0,0
6104,CERTIFICATE IN FOOD AND BEVERAGE SERVICE,0,0,0
6105,CERTIFICATE IN FOOD PRODUCTION,0,0,0
6106,CERTIFICATE IN HOUSE KEEPING,0,0,0
6107,CERTIFICATE IN SOCIAL WORK,0,0,0
6108,CERTIFICATE IN LITHOGRAPHIC ART WORK,0,0,0
6109,CERTIFICATE IN COOKERY,0,0,0
6110,CERTIFICATE IN KNITTING AND EMBROIDERY,0,0,0
6111,CERTIFICATE IN ACTING,0,0,0
6112,CERTIFICATE IN CAMERA AND SCANNER OPERATION,0,0,0
6113,CERTIFICATE IN TYPE SETTING AND DESK TOP PUBLISHING,0,0,0
6114,CERTIFICATE IN OFFSET MACHINE PRINTING,0,0,0
6115,CERTIFICATE IN TEXTILE WEAVING,0,0,0
6116,ARTISIAN COURSE IN TANNERY OPERATORS,0,0,0
6117,ELECTRICAL SUPERVISOR'S COMPETENCY CERTIFICATE COURSE,0,0,0
6118,CERTIFICATE IN PRE-PRESS WORK,0,0,0
6119,CERTIFICATE IN PRINTING TECHNOLOGY,0,0,0
69,Artificial Intelligence and Data Science,1390,345,1045
71,M Tech Computer Science and Engineering,86,43,43
73,Food Technology,196,48,148
74,B.ARCH (ARCHITECTURE),553,370,183
75,ARCHITECTURE,92,3,89
76,CIVILENGINEERING,17,1,16
7000,CE,99,0,99
7001,EIE,97,0,97
7002,AD,118,0,118
7003,CB,119,0,119
7004,CSD,55,0,55
7005,B.Tech. Food Technology,1314,740,574
7006,B.Tech. Computer Science and Business Systems,724,421,303
7007,B.Tech. Artificial Intelligence & Machine Learning,151,151,0
7008,Computer Science and Design,90,27,63
7009,Marine Engineering,61,0,61
7010,CCE,0,0,0
7011,CSBS,2,2,0
7012,ICE,2,2,0
7013,MAE,169,47,122
7014,ME-ICSE,62,61,1
7015,PE,0,0,0
7016,Agriculture Engineering,61,2,59
7017,Cyber Security,1,1,0
7018,Computer Science and Technology,123,0,123
7019,Structural Engineering,20,20,0
7020,Construction Engineering and Managament,44,44,0
7021,power system engineering,0,0,0
7023,M.E. - Power Electronics and Drives,31,26,5
7024,B Tech- ADS,0,0,0
7025,Fashion Technology,46,46,0
7026,BME,27,27,0
7027,M.Tech-Data Science,11,11,0
7028,M.E Computer Science and Engineering,33,33,0
