college_id,college_code,college_name
812,7144,TEJAA SHAKTHI INSTITUTE OF TECHNOLOGY FOR WOMEN
1407,327,MUTHAYAMMAL POLYTECHNIC COLLEGE
1404,324,AL-AMEEN POLYTECHNIC COLLEGE
1411,332,A V C C POLYTECHNIC COLLEGE
1412,333,SHANMUGA POLYTECHNIC COLLEGE
1423,347,ARULMIGU KALASALINGAM POLYTECHNIC COLLEGE
1409,329,C S I POLYTECHNIC COLLEGE
1399,317,SREE NARAYANAGURU POLYTECHNIC COLLEGE
1418,341,RATHINAVEL SUBRAMANIAM POLYTECHNIC COLLEGE
1419,342,THE CHRISTIAN INST. FOR TECH EDN POLYTECH COLLEGE
1420,343,THANGAM-MUTHU POLYTECHNIC COLLEGE
1421,345,THANAPANDIYAN POLYTECHNIC COLLEGE
1422,346,SEIKALATHUR KAMATCHIAMMAN POLYTECHNIC COLLEGE
1424,348,RAMU SEETHA POLYTECHNIC COLLEGE
1438,363,SRINIVASA POLYTECHNIC COLLEGE
1428,352,LAKSHMIAMMAL POLYTECHNIC COLLEGE
1455,382,ADHIYAMAAN POLYTECHNIC COLLEGE
1446,372,PANIMALAR POLYTECHNIC COLLEGE
1443,368,KALAIVANAR N S K POLYTECHNIC COLLEGE
1435,359,THAI MOOGAMBIGAI POLYTECHNIC COLLEGE
1447,373,THIRU SEVEN HILLS POLYTECHNIC COLLEGE
1432,356,MORNING STAR POLYTECHNIC COLLEGE
1433,357,NOORUL ISLAM POLYTECHNIC COLLEGE
1434,358,SRI VENKATESWARA POLYTECHNIC COLLEGE
1408,328,K S RENGASAMY INSTITUTE OF TECHNOLOGY
1437,362,RAJAJI INSTITUTE OF TECHNOLOGY
1442,367,MSP VELAYUTHANADAR LAKSHMITHAIAMMAL  POLY.COLLEGE
1439,364,G M S  M A V M M POLYTECHNIC COLLEGE
1440,365,PARK AMC POLYTECHNIC COLLEGE
1441,366,ARULMIGU SENTHILANDAVAR POLYTECHNIC COLLEGE
1454,381,SREE KRISHNA POLYTECHNIC COLLEGE
1452,379,I R T POLYTECHNIC COLLEGE
1444,370,PALLAVAN POLYTECHNIC COLLEGE
1430,354,GOMATHI AMBAL POLYTECHNIC COLLEGE
